question_id,db_id,verdict,sentences,PS,PG,FR,AC,UM,RC,SC,FAE
bird_197,toxicology,模型,87,9,14,18,6,10,14,13,3
bird_407,card_games,题面歧义,84,6,19,13,6,12,19,7,2
bird_347,card_games,题面歧义,83,4,21,12,5,12,22,5,2
bird_218,toxicology,gold,82,11,14,13,8,9,15,11,1
bird_32,california_schools,模型,82,10,10,9,9,15,19,8,2
bird_152,financial,gold,80,12,18,16,3,3,20,5,3
bird_955,formula_1,gold,79,9,16,15,7,12,11,9,0
bird_1472,debit_card_specializing,"(本轮新错,未判读)",77,8,9,13,15,6,16,9,1
bird_1144,european_football_2,gold,77,3,17,11,7,15,16,7,1
bird_402,card_games,双方,77,9,19,3,8,9,21,7,1
bird_469,card_games,双方,77,8,15,9,6,21,10,6,2
bird_1481,debit_card_specializing,双方,74,6,23,11,3,8,13,10,0
bird_227,toxicology,"(本轮新错,未判读)",73,2,12,14,11,16,11,3,4
bird_1302,thrombosis_prediction,"(本轮新错,未判读)",72,9,13,7,4,9,21,8,1
bird_584,codebase_community,题面歧义,72,5,19,8,1,11,22,5,1
bird_412,card_games,题面歧义,71,4,13,14,5,11,17,7,0
bird_145,financial,题面歧义,71,5,14,13,5,10,19,4,0
bird_1135,european_football_2,双方,70,2,16,13,5,9,17,6,2
bird_694,codebase_community,gold,70,9,16,13,8,9,9,5,1
bird_587,codebase_community,模型,69,6,11,7,8,8,17,10,2
bird_17,california_schools,gold,67,5,5,11,8,7,20,5,6
bird_1141,european_football_2,"(本轮新错,未判读)",65,6,13,9,4,18,7,7,1
bird_1267,thrombosis_prediction,"(本轮新错,未判读)",64,5,18,13,4,5,12,7,0
bird_1531,debit_card_specializing,双方,61,5,14,4,9,10,8,8,3
bird_791,superhero,"(本轮新错,未判读)",56,9,9,11,2,10,9,3,3
bird_11,california_schools,题面歧义,55,2,5,15,3,10,11,8,1
bird_685,codebase_community,模型,54,4,10,5,6,14,6,7,2
bird_118,financial,模型,54,5,12,9,5,9,6,6,2
bird_682,codebase_community,gold,51,6,10,8,5,4,12,6,0
bird_1227,thrombosis_prediction,gold,50,4,10,10,9,6,6,3,2
bird_847,formula_1,gold,50,10,11,10,3,6,4,5,1
bird_963,formula_1,gold,50,5,10,6,5,6,7,6,5
bird_1241,thrombosis_prediction,gold,49,7,11,5,5,2,10,8,1
bird_672,codebase_community,"(本轮新错,未判读)",49,3,7,10,3,4,12,8,2
bird_1037,european_football_2,题面歧义,47,3,6,10,6,7,9,5,1
bird_728,superhero,gold,47,5,4,3,1,7,19,5,3
bird_1422,student_club,gold,46,6,13,3,4,5,8,6,1
bird_1252,thrombosis_prediction,"(本轮新错,未判读)",46,3,10,8,3,4,9,6,3
bird_1036,european_football_2,"(本轮新错,未判读)",46,7,10,6,3,5,11,4,0
bird_989,formula_1,"(本轮新错,未判读)",45,5,8,5,6,4,8,6,3
bird_215,toxicology,题面歧义,44,7,8,8,3,7,4,6,1
bird_1525,debit_card_specializing,"(本轮新错,未判读)",43,5,8,6,3,6,5,8,2
bird_877,formula_1,"(本轮新错,未判读)",40,4,8,10,4,7,2,5,0
bird_115,financial,gold,40,3,7,6,4,3,7,7,3
bird_902,formula_1,题面歧义,39,2,5,12,1,6,6,6,1
bird_41,california_schools,题面歧义,39,3,8,7,3,4,4,7,3
bird_906,formula_1,gold,38,4,6,8,2,5,5,6,2
bird_37,california_schools,gold,38,4,4,9,7,3,7,3,1
bird_930,formula_1,题面歧义,37,4,7,8,2,5,5,4,2
bird_484,card_games,gold,37,3,7,5,5,3,5,8,1
bird_340,card_games,题面歧义,36,4,8,5,2,6,5,4,2
bird_231,toxicology,gold,36,2,11,7,5,2,5,4,0
bird_683,codebase_community,题面歧义,35,2,7,4,5,2,7,8,0
bird_595,codebase_community,gold,34,4,9,3,1,6,6,5,0
bird_198,toxicology,gold,34,1,8,7,4,3,4,7,0
bird_1247,thrombosis_prediction,gold,32,6,2,10,5,2,4,2,1
bird_565,codebase_community,评测口径,30,5,3,3,3,5,3,7,1
bird_273,toxicology,模型,30,4,5,3,5,4,4,3,2
bird_1225,thrombosis_prediction,gold,29,2,6,5,5,3,4,4,0
bird_473,card_games,评测口径,29,5,3,4,3,3,5,4,2
bird_1506,debit_card_specializing,"(本轮新错,未判读)",28,3,6,4,0,4,7,3,1
bird_1322,student_club,gold,28,3,6,2,2,2,4,7,2
bird_879,formula_1,gold,28,4,6,4,3,3,3,3,2
bird_128,financial,gold,28,3,5,6,0,3,6,5,0
bird_1427,student_club,gold,27,3,4,3,1,5,5,4,2
bird_281,toxicology,双方,27,1,7,4,1,5,3,5,1
bird_168,financial,gold,27,2,2,8,2,6,6,1,0
bird_1399,student_club,双方,26,4,7,5,3,3,2,1,1
bird_129,financial,gold,26,3,5,4,1,4,5,3,1
bird_518,card_games,不可评分,25,4,5,4,3,3,1,5,0
bird_1239,thrombosis_prediction,模型,24,1,1,6,8,1,2,5,0
bird_951,formula_1,gold,24,4,6,3,3,5,2,1,0
bird_751,superhero,题面歧义,24,2,7,2,2,0,4,3,4
bird_125,financial,gold,24,3,5,3,5,3,3,1,1
bird_1405,student_club,"(本轮新错,未判读)",23,3,3,4,1,3,5,3,1
bird_1107,european_football_2,gold,23,3,6,1,0,6,1,5,1
bird_726,superhero,gold,23,3,3,3,2,3,3,4,2
bird_604,codebase_community,模型,23,3,4,4,3,2,3,4,0
bird_234,toxicology,gold,23,3,5,4,2,4,2,2,1
bird_1256,thrombosis_prediction,"(本轮新错,未判读)",22,5,4,2,2,3,3,2,1
bird_894,formula_1,"(本轮新错,未判读)",22,1,4,4,5,2,1,3,2
bird_486,card_games,模型,22,2,4,4,2,4,2,2,2
bird_219,toxicology,模型,21,1,4,5,3,3,1,3,1
bird_557,codebase_community,题面歧义,20,2,2,5,4,1,1,5,0
bird_1275,thrombosis_prediction,模型,19,3,2,4,2,0,3,2,3
bird_901,formula_1,"(本轮新错,未判读)",19,3,2,6,1,1,2,3,1
bird_530,card_games,模型,19,2,4,3,1,3,3,3,0
bird_1242,thrombosis_prediction,题面歧义,18,2,3,3,1,3,2,2,2
bird_349,card_games,gold,18,2,1,4,2,4,3,1,1
bird_50,california_schools,模型,18,2,1,5,3,1,4,1,1
bird_263,toxicology,双方,17,1,5,0,4,4,0,2,1
bird_639,codebase_community,gold,15,1,2,3,3,2,0,3,1
bird_408,card_games,题面歧义,15,3,4,1,3,2,0,1,1
bird_1254,thrombosis_prediction,gold,14,2,3,2,2,0,1,3,1
bird_701,codebase_community,不可评分,14,2,3,1,4,1,1,2,0
bird_207,toxicology,gold,14,3,2,2,3,0,2,1,1
bird_1243,thrombosis_prediction,gold,13,2,0,3,3,3,1,1,0
bird_896,formula_1,题面歧义,13,1,2,2,3,1,1,2,1
bird_640,codebase_community,gold,13,2,2,2,1,1,2,2,1
bird_529,card_games,gold,13,1,4,5,1,0,0,2,0
bird_255,toxicology,评测口径,13,1,3,3,4,0,1,1,0
bird_72,california_schools,题面歧义,13,1,4,3,1,1,1,1,1
bird_533,codebase_community,gold,11,1,1,1,2,1,0,3,2
bird_247,toxicology,模型,11,1,3,2,1,0,2,2,0
bird_1498,debit_card_specializing,模型,10,2,2,2,1,0,1,1,1
bird_586,codebase_community,gold,10,2,0,2,1,2,3,0,0
bird_637,codebase_community,双方,10,0,5,2,0,2,0,1,0
bird_352,card_games,模型,10,1,2,2,1,0,1,2,1
bird_186,financial,gold,10,2,3,1,1,0,2,1,0
bird_1265,thrombosis_prediction,gold,9,1,2,1,0,1,1,3,0
bird_1092,european_football_2,题面歧义,9,2,1,0,3,0,0,2,1
bird_1124,european_football_2,"(本轮新错,未判读)",8,0,2,1,0,1,0,2,2
bird_978,formula_1,gold,8,3,3,0,0,0,2,0,0
bird_344,card_games,题面歧义,8,1,2,1,1,1,1,1,0
bird_236,toxicology,"(本轮新错,未判读)",8,2,2,1,0,0,1,2,0
bird_27,california_schools,题面歧义,8,2,1,2,1,0,0,2,0
bird_1028,european_football_2,"(本轮新错,未判读)",6,1,1,2,1,0,0,1,0
bird_773,superhero,"(本轮新错,未判读)",6,2,1,0,1,1,0,0,1
bird_474,card_games,模型,6,2,1,1,1,0,0,1,0
bird_1205,thrombosis_prediction,gold,5,1,3,0,0,1,0,0,0
bird_1251,thrombosis_prediction,gold,5,1,1,0,1,1,0,1,0
bird_710,codebase_community,gold,5,1,1,0,0,0,1,1,1
bird_1179,thrombosis_prediction,gold,4,1,2,0,0,0,1,0,0
bird_598,codebase_community,"(本轮新错,未判读)",4,0,1,0,1,0,2,0,0
bird_468,card_games,"(本轮新错,未判读)",4,0,2,0,0,2,0,0,0
bird_93,financial,模型,4,1,1,1,1,0,0,0,0
