question_id,correct,verdict,sentences,PS,PG,FR,AC,UM,RC,SC,FAE
bird_1359,True,(答对或未判读),30,1,6,5,5,2,8,2,1
bird_1362,True,(答对或未判读),4,1,2,0,0,0,0,0,1
bird_1361,True,(答对或未判读),10,1,1,3,1,2,0,1,1
bird_1368,True,(答对或未判读),10,1,3,1,0,1,0,4,0
bird_1371,True,(答对或未判读),25,2,4,3,3,2,3,6,2
bird_1375,True,(答对或未判读),22,2,6,4,1,3,1,3,2
bird_1378,True,(答对或未判读),4,1,2,0,0,0,0,1,0
bird_1380,True,(答对或未判读),6,0,1,2,1,0,0,1,1
bird_1376,True,(答对或未判读),32,3,2,5,5,7,6,3,1
bird_1381,True,评测口径,28,3,5,6,2,4,4,3,1
bird_1387,True,(答对或未判读),5,0,3,0,0,0,1,1,0
bird_1389,True,(答对或未判读),6,0,1,0,1,1,1,2,0
bird_1390,True,(答对或未判读),40,6,9,6,3,7,3,4,2
bird_1394,True,(答对或未判读),6,1,3,0,0,0,1,1,0
bird_1398,True,(答对或未判读),18,2,6,1,2,3,3,1,0
bird_1392,True,(答对或未判读),53,4,9,7,4,14,8,5,2
bird_1399,False,双方,26,4,7,5,3,3,2,1,1
bird_1401,True,(答对或未判读),5,1,2,1,0,0,0,0,1
bird_1403,True,(答对或未判读),38,8,9,4,5,5,2,5,0
bird_1409,True,(答对或未判读),5,1,0,0,1,1,0,1,1
bird_1405,False,(答对或未判读),23,3,3,4,1,3,5,3,1
bird_1410,True,(答对或未判读),7,1,3,0,0,1,0,1,1
bird_1404,False,gold,97,8,15,13,8,20,21,10,2
bird_1426,True,(答对或未判读),14,3,3,2,1,1,1,2,1
bird_1422,False,gold,46,6,13,3,4,5,8,6,1
bird_1427,False,gold,27,3,4,3,1,5,5,4,2
bird_1435,True,(答对或未判读),39,5,7,5,3,6,5,7,1
bird_1457,True,(答对或未判读),10,1,2,1,0,1,3,2,0
bird_1460,True,(答对或未判读),7,3,1,1,0,1,0,1,0
bird_1432,True,(答对或未判读),112,5,19,20,7,15,31,12,3
bird_1150,True,(答对或未判读),32,4,8,5,3,3,4,2,3
bird_1149,True,(答对或未判读),76,8,17,11,9,11,11,8,1
bird_1153,True,(答对或未判读),32,2,6,5,4,3,5,5,2
bird_1155,True,(答对或未判读),11,0,2,3,0,2,2,1,1
bird_1152,True,(答对或未判读),76,7,20,13,9,13,6,6,2
bird_1156,True,(答对或未判读),41,2,7,7,2,6,11,4,2
bird_1157,True,(答对或未判读),45,7,9,11,5,7,5,1,0
bird_1162,True,(答对或未判读),21,4,3,3,3,3,1,3,1
bird_1164,True,(答对或未判读),50,3,8,7,8,5,12,5,2
bird_1169,True,(答对或未判读),37,3,6,5,4,5,7,7,0
bird_1168,False,gold,165,21,28,30,21,21,36,7,0
bird_1166,False,题面歧义,127,16,25,17,7,22,29,8,3
bird_1179,False,gold,4,1,2,0,0,0,1,0,0
bird_1171,True,(答对或未判读),150,19,21,25,22,21,28,13,1
bird_1185,True,(答对或未判读),49,2,7,15,6,4,10,5,0
bird_1187,True,(答对或未判读),29,5,5,4,1,1,9,3,1
bird_1192,True,(答对或未判读),48,7,11,3,3,11,8,5,0
bird_1189,True,模型,115,10,17,16,15,18,19,14,6
bird_1175,False,双方,100,10,15,16,6,16,24,11,2
bird_1198,True,(答对或未判读),23,2,9,2,1,3,2,4,0
bird_1205,False,gold,5,1,3,0,0,1,0,0,0
bird_1201,True,(答对或未判读),62,9,11,11,6,7,10,7,1
bird_1208,True,(答对或未判读),10,2,3,0,1,3,0,1,0
bird_1195,False,(答对或未判读),98,7,12,15,13,22,19,9,1
bird_1220,True,(答对或未判读),4,1,0,1,1,1,0,0,0
bird_1209,True,(答对或未判读),35,1,5,5,3,6,7,5,2
bird_1225,False,gold,29,2,6,5,5,3,4,4,0
bird_1229,True,harness改写,19,2,4,2,3,1,6,0,1
bird_1231,True,harness改写,16,3,3,2,2,2,2,2,0
bird_1227,False,gold,50,4,10,10,9,6,6,3,2
bird_1235,True,(答对或未判读),36,1,7,6,5,4,9,4,0
bird_1232,True,(答对或未判读),61,9,8,10,8,9,4,12,1
bird_1239,False,模型,24,1,1,6,8,1,2,5,0
bird_1238,True,(答对或未判读),54,4,13,9,4,7,8,7,2
bird_1243,False,gold,13,2,0,3,3,3,1,1,0
bird_1242,False,题面歧义,18,2,3,3,1,3,2,2,2
bird_1241,False,gold,49,7,11,5,5,2,10,8,1
bird_1251,False,gold,5,1,1,0,1,1,0,1,0
bird_1247,False,gold,32,6,2,10,5,2,4,2,1
bird_1254,False,gold,14,2,3,2,2,0,1,3,1
bird_1252,False,(答对或未判读),46,3,10,8,3,4,9,6,3
bird_1256,False,(答对或未判读),22,5,4,2,2,3,3,2,1
bird_1265,False,gold,9,1,2,1,0,1,1,3,0
bird_1255,False,gold,112,8,20,16,10,15,26,14,3
bird_1257,True,harness改写,73,10,13,11,5,10,17,5,2
bird_1275,False,模型,19,3,2,4,2,0,3,2,3
bird_1267,False,(答对或未判读),64,5,18,13,4,5,12,7,0
bird_1270,True,(答对或未判读),45,3,7,5,1,6,11,10,2
bird_1025,True,(答对或未判读),13,3,3,2,0,1,1,3,0
bird_1281,True,(答对或未判读),42,5,6,9,3,2,13,4,0
bird_1028,False,(答对或未判读),6,1,1,2,1,0,0,1,0
bird_1302,False,(答对或未判读),72,9,13,7,4,9,21,8,1
bird_1031,True,gold,18,1,3,2,4,2,1,3,2
bird_1030,True,(答对或未判读),21,2,3,2,2,2,4,4,1
bird_1035,True,(答对或未判读),21,2,3,4,0,5,1,4,2
bird_1032,True,(答对或未判读),10,1,1,2,2,1,1,1,1
bird_1036,False,(答对或未判读),46,7,10,6,3,5,11,4,0
bird_1037,False,题面歧义,47,3,6,10,6,7,9,5,1
bird_1029,False,gold,150,20,27,16,10,22,31,21,3
bird_1039,True,(答对或未判读),5,1,0,2,0,1,0,1,0
bird_1042,True,(答对或未判读),5,1,0,1,1,0,0,2,0
bird_1044,True,(答对或未判读),41,3,5,8,2,8,5,7,3
bird_1048,True,(答对或未判读),54,4,11,6,4,8,13,6,2
bird_1057,True,(答对或未判读),21,3,3,4,3,3,2,3,0
bird_1068,True,(答对或未判读),46,6,10,11,5,4,6,3,1
bird_1076,True,(答对或未判读),14,2,4,3,0,1,1,3,0
bird_1058,False,双方,113,19,23,12,8,14,21,14,2
bird_1079,True,(答对或未判读),11,1,3,1,1,1,0,2,2
bird_1080,True,(答对或未判读),8,1,1,1,2,0,0,3,0
bird_1088,True,(答对或未判读),6,1,1,2,0,0,0,1,1
bird_1040,True,(答对或未判读),25,2,6,4,3,2,5,3,0
bird_1084,True,harness改写,46,4,12,8,2,7,6,6,1
bird_1092,False,题面歧义,9,2,1,0,3,0,0,2,1
bird_1096,True,(答对或未判读),12,1,4,1,2,1,0,1,2
bird_1091,True,(答对或未判读),83,10,13,11,12,19,9,8,1
bird_1098,True,(答对或未判读),34,4,9,3,2,8,2,5,1
bird_1094,False,gold,88,8,18,22,6,12,11,8,3
bird_1107,False,gold,23,3,6,1,0,6,1,5,1
bird_1110,True,(答对或未判读),5,1,2,0,1,0,0,1,0
bird_1102,True,(答对或未判读),48,3,14,7,2,7,9,6,0
bird_1113,True,(答对或未判读),25,1,4,4,2,8,0,5,1
bird_1114,True,(答对或未判读),9,3,2,1,2,0,0,0,1
bird_1116,True,(答对或未判读),12,1,3,2,1,2,2,0,1
bird_1122,True,(答对或未判读),18,3,3,2,2,1,4,2,1
bird_1115,True,(答对或未判读),57,5,11,8,9,8,8,6,2
bird_1124,False,(答对或未判读),8,0,2,1,0,1,0,2,2
bird_1130,True,(答对或未判读),9,3,1,1,2,0,0,2,0
bird_1133,True,(答对或未判读),10,2,1,2,1,0,1,2,1
bird_1134,True,(答对或未判读),8,1,1,2,1,0,1,2,0
bird_1139,True,(答对或未判读),35,2,6,5,2,8,5,7,0
bird_1135,False,双方,70,2,16,13,5,9,17,6,2
bird_1136,False,gold,118,17,16,13,11,18,21,18,4
bird_1141,False,(答对或未判读),65,6,13,9,4,18,7,7,1
bird_1145,True,(答对或未判读),16,2,3,0,3,1,4,3,0
bird_1146,True,(答对或未判读),4,2,1,0,0,0,0,0,1
bird_1144,False,gold,77,3,17,11,7,15,16,7,1
bird_1147,True,(答对或未判读),8,1,1,1,2,0,1,1,1
bird_846,True,(答对或未判读),47,3,12,8,4,7,6,6,1
bird_847,False,gold,50,10,11,10,3,6,4,5,1
bird_850,True,(答对或未判读),10,3,2,1,1,1,1,1,0
bird_857,True,(答对或未判读),14,1,4,1,1,2,3,1,1
bird_854,True,(答对或未判读),70,10,6,15,5,11,15,6,2
bird_862,True,(答对或未判读),5,1,1,1,0,0,1,0,1
bird_1148,False,(答对或未判读),180,16,31,29,16,23,41,24,0
bird_865,True,(答对或未判读),4,0,2,0,0,1,0,0,1
bird_868,True,(答对或未判读),19,4,2,1,2,1,3,5,1
bird_861,True,题面歧义,93,11,14,14,7,19,22,4,2
bird_875,True,(答对或未判读),11,2,5,1,2,0,0,0,1
bird_877,False,(答对或未判读),40,4,8,10,4,7,2,5,0
bird_872,True,(答对或未判读),106,9,19,27,5,19,19,7,1
bird_866,False,模型,130,18,22,18,9,31,21,9,2
bird_879,False,gold,28,4,6,4,3,3,3,3,2
bird_880,True,(答对或未判读),37,2,8,10,3,3,8,3,0
bird_881,True,题面歧义,51,6,11,9,9,5,4,5,2
bird_884,True,(答对或未判读),44,2,8,11,5,5,7,5,1
bird_894,False,(答对或未判读),22,1,4,4,5,2,1,3,2
bird_895,True,(答对或未判读),8,1,2,2,1,0,0,1,1
bird_892,True,(答对或未判读),95,11,12,21,9,11,19,10,2
bird_896,False,题面歧义,13,1,2,2,3,1,1,2,1
bird_898,True,(答对或未判读),5,1,1,1,2,0,0,0,0
bird_901,False,(答对或未判读),19,3,2,6,1,1,2,3,1
bird_902,False,题面歧义,39,2,5,12,1,6,6,6,1
bird_906,False,gold,38,4,6,8,2,5,5,6,2
bird_897,False,(答对或未判读),109,12,16,21,10,14,22,12,2
bird_910,True,(答对或未判读),6,1,2,1,0,0,0,1,1
bird_909,True,(答对或未判读),6,1,2,0,1,0,0,1,1
bird_912,True,(答对或未判读),10,2,2,0,1,1,0,2,2
bird_915,True,(答对或未判读),5,1,2,0,0,0,0,2,0
bird_904,True,(答对或未判读),115,11,20,39,4,19,14,8,0
bird_933,True,(答对或未判读),9,1,3,0,1,1,1,1,1
bird_930,False,题面歧义,37,4,7,8,2,5,5,4,2
bird_931,True,(答对或未判读),63,11,8,15,7,5,6,10,1
bird_937,False,题面歧义,114,13,14,25,7,16,15,22,2
bird_940,True,(答对或未判读),82,11,11,12,5,11,20,8,4
bird_948,True,(答对或未判读),25,3,6,6,1,4,1,4,0
bird_945,True,(答对或未判读),51,5,11,8,1,11,5,8,2
bird_951,False,gold,24,4,6,3,3,5,2,1,0
bird_954,True,(答对或未判读),40,3,5,9,9,4,2,8,0
bird_944,False,不可评分,211,19,42,35,21,35,37,18,4
bird_955,False,gold,79,9,16,15,7,12,11,9,0
bird_962,True,(答对或未判读),20,3,3,4,1,2,3,4,0
bird_964,True,(答对或未判读),8,2,1,0,1,2,1,1,0
bird_959,False,模型,107,10,27,19,6,10,22,10,3
bird_963,False,gold,50,5,10,6,5,6,7,6,5
bird_971,True,(答对或未判读),14,1,2,2,1,1,3,4,0
bird_972,True,(答对或未判读),28,3,6,3,2,4,7,3,0
bird_977,True,(答对或未判读),4,1,0,1,1,0,0,1,0
bird_978,False,gold,8,3,3,0,0,0,2,0,0
bird_981,True,(答对或未判读),61,7,10,9,3,12,8,10,2
bird_967,False,gold,149,11,31,20,16,24,23,20,4
bird_990,True,(答对或未判读),19,4,3,7,1,1,1,1,1
bird_989,False,(答对或未判读),45,5,8,5,6,4,8,6,3
bird_988,True,(答对或未判读),116,13,12,27,13,21,15,12,3
bird_717,True,(答对或未判读),5,1,2,0,1,0,0,1,0
bird_994,True,(答对或未判读),77,6,21,13,6,14,9,7,1
bird_1002,True,(答对或未判读),50,6,17,6,6,8,4,3,0
bird_1003,True,(答对或未判读),23,3,6,1,3,3,5,2,0
bird_1001,True,(答对或未判读),82,8,13,15,4,13,18,8,2
bird_719,True,(答对或未判读),32,3,6,5,3,8,3,3,1
bird_723,True,(答对或未判读),13,2,2,1,3,1,1,2,1
bird_724,True,(答对或未判读),15,3,4,0,1,2,1,2,2
bird_726,False,gold,23,3,3,3,2,3,3,4,2
bird_1014,False,gold,156,14,40,25,9,23,34,10,1
bird_1011,False,harness改写,183,19,30,26,21,21,40,22,4
bird_730,True,(答对或未判读),17,1,4,2,2,0,3,4,1
bird_732,True,(答对或未判读),9,1,3,1,0,2,0,2,0
bird_728,False,gold,47,5,4,3,1,7,19,5,3
bird_733,True,(答对或未判读),20,1,6,1,3,4,1,4,0
bird_737,True,(答对或未判读),27,2,7,3,3,6,3,3,0
bird_736,True,(答对或未判读),29,3,3,7,2,5,3,4,2
bird_738,True,(答对或未判读),15,4,3,3,0,0,1,3,1
bird_739,True,(答对或未判读),14,3,1,0,2,2,1,4,1
bird_740,True,(答对或未判读),33,3,5,5,3,8,7,2,0
bird_744,True,(答对或未判读),19,3,3,3,2,3,3,2,0
bird_745,True,(答对或未判读),24,3,7,1,1,7,3,1,1
bird_743,True,评测口径,46,1,13,7,4,7,7,6,1
bird_747,True,(答对或未判读),4,1,3,0,0,0,0,0,0
bird_750,True,(答对或未判读),6,1,1,1,2,0,0,1,0
bird_751,False,题面歧义,24,2,7,2,2,0,4,3,4
bird_753,True,(答对或未判读),21,1,2,3,2,3,3,5,2
bird_758,True,(答对或未判读),5,0,3,0,0,0,0,2,0
bird_760,True,模型,25,3,3,4,4,3,5,3,0
bird_761,True,(答对或未判读),16,1,3,4,1,3,3,1,0
bird_764,True,(答对或未判读),4,1,1,0,0,0,0,2,0
bird_765,True,(答对或未判读),17,2,2,2,4,2,1,2,2
bird_766,True,(答对或未判读),31,9,7,2,2,7,1,2,1
bird_773,False,(答对或未判读),6,2,1,0,1,1,0,0,1
bird_769,True,(答对或未判读),12,3,1,2,1,2,1,2,0
bird_779,True,(答对或未判读),10,3,4,0,1,2,0,0,0
bird_775,True,(答对或未判读),35,4,7,5,5,6,3,5,0
bird_781,True,(答对或未判读),31,2,6,4,2,7,3,5,2
bird_786,True,(答对或未判读),12,2,2,2,1,2,1,1,1
bird_782,True,(答对或未判读),21,3,5,3,1,1,1,5,2
bird_785,True,(答对或未判读),19,4,3,2,1,2,4,2,1
bird_788,True,(答对或未判读),19,3,4,2,4,1,1,4,0
bird_792,True,(答对或未判读),32,2,7,2,2,6,6,5,2
bird_794,True,(答对或未判读),2,0,1,0,0,0,0,1,0
bird_797,True,(答对或未判读),23,3,8,3,0,4,2,2,1
bird_791,False,(答对或未判读),56,9,9,11,2,10,9,3,3
bird_798,True,(答对或未判读),38,3,6,3,2,9,10,4,1
bird_800,True,(答对或未判读),34,6,6,5,5,4,4,4,0
bird_819,True,(答对或未判读),31,3,3,6,3,1,8,5,2
bird_801,True,(答对或未判读),20,3,3,3,2,2,2,4,1
bird_822,True,(答对或未判读),20,2,4,2,2,1,2,6,1
bird_824,True,(答对或未判读),19,1,6,3,3,3,2,0,1
bird_825,True,(答对或未判读),31,4,8,6,1,6,3,3,0
bird_829,True,(答对或未判读),9,1,2,2,1,1,0,2,0
bird_533,False,gold,11,1,1,1,2,1,0,3,2
bird_537,True,(答对或未判读),8,0,1,2,3,0,0,1,1
bird_544,True,(答对或未判读),6,0,1,1,0,2,0,1,1
bird_557,False,题面歧义,20,2,2,5,4,1,1,5,0
bird_565,False,评测口径,30,5,3,3,3,5,3,7,1
bird_563,True,(答对或未判读),26,2,9,2,3,3,4,1,2
bird_571,True,(答对或未判读),14,2,2,5,1,1,2,1,0
bird_572,True,(答对或未判读),5,1,0,1,1,1,0,1,0
bird_573,True,(答对或未判读),5,1,1,0,0,0,1,1,1
bird_568,True,(答对或未判读),66,6,11,11,6,13,14,4,1
bird_576,True,(答对或未判读),9,2,3,1,0,1,0,2,0
bird_578,True,(答对或未判读),32,7,8,4,2,4,1,5,1
bird_581,True,(答对或未判读),4,1,0,0,1,0,0,1,1
bird_586,False,gold,10,2,0,2,1,2,3,0,0
bird_584,False,题面歧义,72,5,19,8,1,11,22,5,1
bird_592,True,(答对或未判读),14,2,3,2,2,0,2,3,0
bird_587,False,模型,69,6,11,7,8,8,17,10,2
bird_595,False,gold,34,4,9,3,1,6,6,5,0
bird_598,False,(答对或未判读),4,0,1,0,1,0,2,0,0
bird_604,False,模型,23,3,4,4,3,2,3,4,0
bird_629,True,(答对或未判读),15,2,7,2,0,2,0,1,1
bird_634,True,(答对或未判读),4,0,1,1,0,0,0,2,0
bird_637,False,双方,10,0,5,2,0,2,0,1,0
bird_640,False,gold,13,2,2,2,1,1,2,2,1
bird_639,False,gold,15,1,2,3,3,2,0,3,1
bird_665,True,(答对或未判读),57,4,9,15,5,5,15,2,2
bird_672,False,(答对或未判读),49,3,7,10,3,4,12,8,2
bird_671,True,(答对或未判读),94,5,22,4,3,24,30,4,2
bird_683,False,题面歧义,35,2,7,4,5,2,7,8,0
bird_682,False,gold,51,6,10,8,5,4,12,6,0
bird_687,True,(答对或未判读),10,2,1,1,1,1,1,2,1
bird_685,False,模型,54,4,10,5,6,14,6,7,2
bird_701,False,不可评分,14,2,3,1,4,1,1,2,0
bird_704,True,(答对或未判读),4,1,2,0,0,0,0,1,0
bird_705,True,(答对或未判读),5,1,3,0,0,0,0,1,0
bird_694,False,gold,70,9,16,13,8,9,9,5,1
bird_707,True,(答对或未判读),5,1,1,1,0,0,0,1,1
bird_710,False,gold,5,1,1,0,0,0,1,1,1
bird_716,True,(答对或未判读),21,2,4,3,3,1,4,4,0
bird_340,False,题面歧义,36,4,8,5,2,6,5,4,2
bird_344,False,题面歧义,8,1,2,1,1,1,1,1,0
bird_345,True,(答对或未判读),15,2,3,4,4,2,0,0,0
bird_346,True,(答对或未判读),15,1,7,3,0,3,0,1,0
bird_341,False,双方,103,9,15,14,11,16,24,12,2
bird_349,False,gold,18,2,1,4,2,4,3,1,1
bird_352,False,模型,10,1,2,2,1,0,1,2,1
bird_356,True,(答对或未判读),5,1,1,0,1,0,0,1,1
bird_366,True,(答对或未判读),8,1,3,1,0,0,2,1,0
bird_347,False,题面歧义,83,4,21,12,5,12,22,5,2
bird_368,True,(答对或未判读),9,2,3,0,1,2,0,1,0
bird_358,True,(答对或未判读),69,5,16,14,2,11,14,5,2
bird_377,True,(答对或未判读),15,1,6,3,0,1,1,3,0
bird_391,True,(答对或未判读),21,3,3,2,2,4,3,4,0
bird_383,True,模型,25,4,4,4,3,1,4,5,0
bird_397,True,(答对或未判读),9,1,2,1,0,1,0,3,1
bird_405,True,(答对或未判读),9,2,2,1,1,1,2,0,0
bird_371,False,(答对或未判读),173,16,51,19,17,18,33,17,2
bird_402,False,双方,77,9,19,3,8,9,21,7,1
bird_408,False,题面歧义,15,3,4,1,3,2,0,1,1
bird_409,True,(答对或未判读),19,2,3,4,1,4,2,3,0
bird_407,False,题面歧义,84,6,19,13,6,12,19,7,2
bird_415,True,(答对或未判读),34,4,8,5,2,5,2,6,2
bird_412,False,题面歧义,71,4,13,14,5,11,17,7,0
bird_416,True,(答对或未判读),18,1,7,4,2,1,2,1,0
bird_422,True,(答对或未判读),5,1,2,0,0,1,0,0,1
bird_424,True,模型,4,1,1,1,1,0,0,0,0
bird_427,True,(答对或未判读),18,4,7,2,0,0,2,2,1
bird_459,True,(答对或未判读),11,2,2,2,1,0,1,2,1
bird_440,True,(答对或未判读),59,6,9,10,6,9,11,6,2
bird_414,False,(答对或未判读),130,13,29,24,4,33,19,6,2
bird_462,True,(答对或未判读),38,3,9,7,0,7,7,4,1
bird_466,True,(答对或未判读),13,2,3,3,1,1,0,2,1
bird_468,False,(答对或未判读),4,0,2,0,0,2,0,0,0
bird_472,True,(答对或未判读),10,2,2,0,1,1,1,2,1
bird_465,False,模型,96,9,22,12,7,14,20,10,2
bird_473,False,评测口径,29,5,3,4,3,3,5,4,2
bird_469,False,双方,77,8,15,9,6,21,10,6,2
bird_474,False,模型,6,2,1,1,1,0,0,1,0
bird_484,False,gold,37,3,7,5,5,3,5,8,1
bird_486,False,模型,22,2,4,4,2,4,2,2,2
bird_483,True,基础设施,67,5,16,6,5,7,11,14,3
bird_487,True,(答对或未判读),21,5,2,1,3,0,5,5,0
bird_518,False,不可评分,25,4,5,4,3,3,1,5,0
bird_528,True,(答对或未判读),12,1,1,5,1,1,2,0,1
bird_529,False,gold,13,1,4,5,1,0,0,2,0
bird_530,False,模型,19,2,4,3,1,3,3,3,0
bird_195,True,(答对或未判读),15,1,3,3,2,3,0,1,2
bird_522,True,(答对或未判读),63,9,9,10,4,8,9,10,4
bird_198,False,gold,34,1,8,7,4,3,4,7,0
bird_197,False,模型,87,9,14,18,6,10,14,13,3
bird_206,True,(答对或未判读),48,2,12,4,8,6,8,5,3
bird_207,False,gold,14,3,2,2,3,0,2,1,1
bird_212,True,(答对或未判读),35,5,6,5,3,5,4,6,1
bird_201,False,模型,122,7,23,22,10,15,32,13,0
bird_213,True,(答对或未判读),35,2,6,8,5,6,2,6,0
bird_219,False,模型,21,1,4,5,3,3,1,3,1
bird_215,False,题面歧义,44,7,8,8,3,7,4,6,1
bird_220,True,(答对或未判读),39,7,7,5,3,4,7,6,0
bird_226,True,评测口径,15,2,2,2,1,3,2,2,1
bird_218,False,gold,82,11,14,13,8,9,15,11,1
bird_227,False,(答对或未判读),73,2,12,14,11,16,11,3,4
bird_231,False,gold,36,2,11,7,5,2,5,4,0
bird_234,False,gold,23,3,5,4,2,4,2,2,1
bird_230,True,(答对或未判读),82,10,15,6,4,15,24,6,2
bird_232,True,(答对或未判读),8,1,2,0,1,0,2,1,1
bird_236,False,(答对或未判读),8,2,2,1,0,0,1,2,0
bird_242,True,(答对或未判读),9,3,2,0,1,1,1,1,0
bird_239,True,(答对或未判读),78,5,8,9,10,11,25,7,3
bird_240,True,(答对或未判读),45,2,8,8,5,10,6,5,1
bird_243,True,(答对或未判读),32,3,7,2,5,3,4,5,3
bird_247,False,模型,11,1,3,2,1,0,2,2,0
bird_244,True,(答对或未判读),38,5,6,4,4,4,8,5,2
bird_249,True,(答对或未判读),63,6,13,8,4,13,8,8,3
bird_248,False,gold,114,7,21,14,4,17,38,12,1
bird_245,True,模型,172,12,31,39,13,21,37,18,1
bird_255,False,评测口径,13,1,3,3,4,0,1,1,0
bird_253,True,(答对或未判读),67,8,16,10,1,7,18,3,4
bird_263,False,双方,17,1,5,0,4,4,0,2,1
bird_268,True,(答对或未判读),10,2,3,1,2,0,1,1,0
bird_281,False,双方,27,1,7,4,1,5,3,5,1
bird_273,False,模型,30,4,5,3,5,4,4,3,2
bird_282,True,(答对或未判读),9,2,1,3,2,1,0,0,0
bird_327,True,(答对或未判读),25,2,5,4,4,3,3,3,1
bird_260,True,题面歧义,107,12,10,10,7,19,34,12,3
bird_5,True,(答对或未判读),4,1,0,0,1,0,0,1,1
bird_12,True,(答对或未判读),23,4,7,4,3,0,2,3,0
bird_11,False,题面歧义,55,2,5,15,3,10,11,8,1
bird_17,False,gold,67,5,5,11,8,7,20,5,6
bird_23,True,题面歧义,69,3,12,12,4,10,16,11,1
bird_25,False,双方,146,19,18,20,14,38,24,13,0
bird_26,False,双方,95,10,19,17,7,14,15,11,2
bird_24,True,(答对或未判读),141,17,21,19,14,19,34,15,2
bird_27,False,题面歧义,8,2,1,2,1,0,0,2,0
bird_28,False,双方,116,7,21,27,8,13,20,19,1
bird_32,False,模型,82,10,10,9,9,15,19,8,2
bird_31,True,(答对或未判读),97,7,21,10,9,14,15,19,2
bird_37,False,gold,38,4,4,9,7,3,7,3,1
bird_39,True,(答对或未判读),13,1,3,1,3,3,0,2,0
bird_40,True,(答对或未判读),10,1,3,1,0,2,1,2,0
bird_41,False,题面歧义,39,3,8,7,3,4,4,7,3
bird_45,True,(答对或未判读),18,3,6,2,2,2,0,2,1
bird_36,False,gold,155,13,36,15,10,26,36,17,1
bird_47,True,(答对或未判读),48,5,5,10,6,7,9,5,1
bird_46,True,(答对或未判读),54,8,6,18,2,7,6,4,3
bird_50,False,模型,18,2,1,5,3,1,4,1,1
bird_72,False,题面歧义,13,1,4,3,1,1,1,1,1
bird_62,True,(答对或未判读),67,7,12,16,6,8,11,6,1
bird_48,False,模型,93,12,10,15,12,13,15,15,1
bird_77,True,(答对或未判读),7,1,2,2,0,0,0,2,0
bird_79,True,(答对或未判读),6,2,1,0,0,2,0,0,1
bird_82,True,(答对或未判读),52,3,17,2,4,13,5,7,1
bird_89,True,(答对或未判读),21,2,4,2,2,4,1,6,0
bird_85,False,评测口径,95,16,15,13,6,15,21,6,3
